商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
"""サムライ"" シリーズ ブレンデッドアイラ 2010 10年 59.7% 700MLウイスキートレイル","香り：心地よいスモーク香、灰、ハチミツ、アプリコット、若草、バニラ。
味わい：オイリー、いぶろがっこの様なピートスモーク、シロップ、ブラックペッパー、甘酸っぱいアンズ、オーク。
フィニッシュ：ピートスモーク。",https://www.saketry.com/112500.html,スコットランド,アイラ,サムライシリーズ,エリクサーディスティラーズ,59.7,700,,2010,10
"クライドサイド蒸留所 ""ストブクロス"" 46% 700MLストブクロス","香り：洋梨、青リンゴ、ローズ＆ハニー、バニラ。
味わい：ソフトでスムーズ、バニリンな甘味から洋梨やアップル、バナナ。
フィニッシュ：優しいビター、心地よいミント。",https://www.saketry.com/112501.html,スコットランド,ローランド,ストブクロス,AD ラトレー,46,700,クライドサイド蒸留所,,
ザ シングルカスク シングルモルト ウイスキー ADM-8 54.8% 750MLビハインド・ザ・カスク,,https://www.saketry.com/112502.html,スコットランド,ハイランド,BEHIND THE CASK,BEHIND THE CASK,54.8,750,,,
ブレアソール 2006 15年 ライカスク フィニッシュ  52.3% 700MLインフリークエント・フライヤー,"香り：リッチなオーク、レモン、キウイフルーツ、エルダーフラワー、バナナ、ほんのり火打石。
味わい：プリンスメロン、パパイヤ、オークのタンニン、スパイス。
フィニッシュ：桃の甘味を伴ったバニラクリーム。",https://www.saketry.com/112506.html,スコットランド,ハイランド,インフリークエント・フライヤー,アリスター・ウォーカー・ウイスキー・カンパニー,52.3,700,ブレアソール蒸留所,2006,15
ノックデュ 2013 8年 1st フィルバーボン バレル 59.3% 700MLインフリークエント・フライヤー,"香り：ファーストフィルバーボン樽らしいバニラ、ハチミツ、チェリー、グリーンハーブ、ウッディ。
味わい：バニラやハチミツの心地よい甘味、爽やかなレモン、軽快な若草のアクセント。
フィニッシュ：カカオニブの苦味がウイスキーの甘味を引き立て、全体をきれいにまとめ上げる。",https://www.saketry.com/112507.html,スコットランド,ハイランド,インフリークエント・フライヤー,アリスター・ウォーカー・ウイスキー・カンパニー,59.3,700,ノックデュー蒸留所,2013,8
アラン レアバッチ 15年 アルゴンヌ 53.5% 700MLレアバッチ,"香り：搾りたての白ブドウジュース、甘酸っぱいリンゴ、オレンジの花、杉や白檀のお香、暖かな春の日の庭をイメージ。
味わい：オイリーでボリューム、ハチミツ漬けのフルーツ、バニラ、オレンジケーキ、ナツメグ、焼きたてのブリオッシュ、マンゴー。
フィニッシュ：温かみのあうるスパイス、タンニン、オレンジリキュールの甘味。",https://www.saketry.com/112508.html,スコットランド,アイランズ,レアバッチ,,53.5,700,アイル オブ アラン蒸溜所,,15
アラン レアバッチ 15年 ボルドー 52.8% 700MLレアバッチ,"香り：熟したダークベリー、葉巻の広がり、サルタナ、カシスのアロマ、穏やかなタバコ。
味わい：ラズベリートリュフチョコを添えたアフタヌーンディー、オレンジマーマレードを塗ったスコーン、アーモンドとシナモンのクロワッサン、
フィニッシュ：ドライな味わいへ変化、プラムジャム、マイルドなスパイス。",https://www.saketry.com/112509.html,スコットランド,アイランズ,,,52.8,700,,,
｢マッハ GO GO GO｣ラベル トミントール 2006 15年 54.0% 700ml漫画ラベルシリーズ,"香り：クリーミーな樽香。枝付きレーズンとフルーティなライチ。すっきりとした麦汁の香りが背後にある。
味わい：酸味のあるコーヒー豆。カスタードプリンのカラメルソース。焼きリンゴとラムレーズン。",https://www.saketry.com/112510.html,スコットランド,スペイサイド,漫画ラベルシリーズ,,54,700,トミントール蒸留所,2006,15
トイボックス  ブラックラ 2006  14年 ホグスヘッド 55.3% 700MLトイボックス,"香り：レモン、ミント、熟したリンゴ、バニラウエハース、べっこう飴。
味わい：レモンキャンディ、オーク、ホワイトペッパー。
フィニッシュ：苦いタバコ、ハチミツ、アイスティー。",https://www.saketry.com/112511.html,スコットランド,ハイランド,トイボックス,,55.3,700,ロイヤル ブラックラ蒸留所,2006,14
クラクストンズ ウィリアムソン 2015 6年 リフィールシェリーホグスヘッド 61.5% 700MLウェアハウス NO.1 シリーズ,,https://www.saketry.com/112513.html,スコットランド,アイラ,ウェアハウス No.1 シリーズ,クラクストンズ スピリッツ,61.5,700,ラフロイグ蒸留所,2015,16
クラックストンズ トーモア 2008 13年 フレッシュラムバレル 55.4% 700MLウェアハウス No.1 シリーズ,,https://www.saketry.com/112514.html,スコットランド,スペイサイド,ウェアハウス No.1 シリーズ,クラクストンズ スピリッツ,55.4,700,トーモア蒸留所,2008,13
クラックストンズ クロフテンギア 2007 14年 レッドワインバリック 56.1% 700MLウェアハウス No.1 シリーズ,,https://www.saketry.com/112515.html,スコットランド,ハイランド,ウェアハウス No.1 シリーズ,クラクストンズ スピリッツ,56.1,700,ロッホローモンド蒸留所,2007,14
クラックストンズ アラン 1998 23年 フレッシュシェリーホグスヘッド 49.9% 700MLウェアハウス No.1 シリーズ,,https://www.saketry.com/112516.html,スコットランド,アイランズ,ウェアハウス No.1 シリーズ,クラクストンズ スピリッツ,49.9,700,アイル オブ アラン蒸溜所,1998,23
クラクストンズ グレングラント 1998 23年 シェリーバット 53.2% 700MLウェアハウス No.1 シリーズ,,https://www.saketry.com/112517.html,スコットランド,スペイサイド,ウェアハウス No.1 シリーズ,クラクストンズ スピリッツ,53.2,700,グレングラント蒸留所,1998,23
ベンロマック シングルカスク 2010 FOR JIS 60.8% 700MLベンロマック,,https://www.saketry.com/112518.html,スコットランド,スペイサイド,,ゴードン＆マクファイル,60.8,700,ベンロマック蒸留所,2010,11
