商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
ザ・イリデセント・カスク キャンベルタウンブレンデッドモルト 2014 6年 ホグズヘッド 56.5% 700ml,,https://www.saketry.com/112112.html,スコットランド,キャンベルタウン,ザ・イリデセント・カスク,スコッチモルト・セールス,56.5,700,,2014,6
カリラ 2008 12年 ホグズヘッド 55% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/112113.html,スコットランド,アイラ,ディスティラリーズ・コレクション,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,55,700,カリラ蒸溜所,2008,12
バルブレア 19年 55.9% 700mlアートオブウイスキー,"香り：アップルソースとリコリスが消えて、砂糖でコーティングされたアーモンド、ヘーゼルナッツのヒント、調理されたピーマンのフレーバーが現れます。甘い香りが上に浮かんでいます。
味わい：ロイヤルアイシングとグラニースミスのリンゴに、ほんの少しのチャーと牧草地の香り、花とスイートグラス。果樹園の果物のプールを囲む、グリッピーなリンゴの皮が現れます。
フィニッシュ：最初は非常にフローラルで、色あせて、砂糖の入ったアーモンドがほのかな香りを残します。その後、甘いバターのようなペストリーが口蓋を横切って転がり、砂糖漬けの余韻が残ります。",https://www.saketry.com/112115.html,スコットランド,ハイランド,,ザ・ウィスキー・エージェンシー,55.9,700,バルブレア蒸留所,,19
ベンネヴィス 1996 23年 52.1% 700mlザ・ウイスキー・エクスチェンジ,"香り：甘く、フローラルでフルーティーで、牧草地の花、ドリーミックス、砂糖漬けのオレンジスライス、グミベアのタッチがあります。乾燥したパイナップルとマンゴーは、アップルソースの層の下に隠れます。
味わい：フルーツは口蓋に続き、スパイシーなジンジャーブレッドがリンゴとナシのジャムで高く積み上げられます。緑豊かなミントのタッチが上に浮かんでおり、レーズンとスグリの川が続いています。ワックスで磨かれたオークがそのすべての下にあります。
フィニッシュ：切りたてのオークボードにキャラメルとチョコレートを浸したリンゴのスライス。",https://www.saketry.com/112116.html,スコットランド,ハイランド,ザ・ウイスキー・エクスチェンジ,ザ・ウイスキー・エクスチェンジ,52.1,700,ベンネヴィス蒸留所,1996,23
ブナハーブン 1997 22年 51.3% 700ml ザ・ウイスキー・エクスチェンジ,"香り：湿った火の穴と昨夜の焦げた葉。海風のオゾンと粘り気のある甘草の香りが増すにつれて、シダの畑は甘い煙で覆われます。
味わい：甘いモルトのパン、レーズン、リコリスの豊かなノートが、海に濡れた石、燃える松と緑豊かなハーブ（ミントとタラゴン）の横にあります。チャーとタールは、ソフトスパイスとダークチョコレートのヒントとともに下に隠れています。",https://www.saketry.com/112117.html,スコットランド,アイラ,ザ・ウイスキー・エクスチェンジ,ザ・ウイスキー・エクスチェンジ,51.3,700,ブナハーブン蒸留所,1997,22
カリラ 2008 12年 58.5% 700mlザ・ウィスキー エクスチェンジ,"香り：お香、砂糖漬けのレモン、ビスケットの穀物は、柔らかい甘草の根の甘さと土の泥炭の煙によって結合されます。波飛沫、砂利、ダークチョコレートの香りがあり、リンゴ飴とライムが続きます。
味わい：柑橘類、ミネラル、波飛沫、タールの煙が詰まった、クラシックな沿岸のカオルイラ。",https://www.saketry.com/112118.html,スコットランド,アイラ,ザ・ウイスキー・エクスチェンジ,ザ・ウイスキー・エクスチェンジ,58.5,700,カリラ蒸溜所,2008,12
クライヌリッシュ 21年 56.1% 700ml アートオブウイスキー,"香り：牧草地の花と砂糖漬けのキャンディースティックの甘さ、アーモンドと砂糖漬けのレモンの香り。ワックスで磨かれたテーブルの香りと、乾燥したリンゴのフレーバーが続き、リンゴのスポンジケーキが感じられます。草が茂った香りはグラスの中で時間とともに現れます。
味わい：柔らかく非常にクリーミーで、バナナとリンゴがバランスの取れた甘くシャープな香りを与えます。アニスのスパイスが後ろに蓄積し、続いて柔らかいヘーゼルナッツとアーモンドのナッツが続きます。その波は砕け、わずかに塩味のバターとタフィーが滴り落ちる花の芯が現れます。",https://www.saketry.com/112119.html,スコットランド,ハイランド,アート・オフ・ウイスキー,ザ・ウイスキー・エクスチェンジ,56.1,700,クライヌリッシュ蒸留所,,21
グレンエルギン 12年 55.8% 700mlザ・ウイスキー・エクスチェンジ,"香り：はじめにフルーツボウル：洋ナシとラズベリーに、ピリッとした赤スグリとゼストレモンを添えて。白パンの甘いバターと砂糖のサンドイッチは、磨かれたオークと木質のスパイスでバランスが取れており、大麦の砂糖とレモンのドロップが後ろに隠れています。
味わい：濃厚で甘く、鼻からの果実味が交互に詰まり、ポーチドになり、後ろに甘草と湿ったオークがこっそり入ります。ブラックカラントジャムとミントクリームのノートが、甘くてクリーミーなカスタードとすりおろした100％ココアダークチョコレートとともに発達します。",https://www.saketry.com/112120.html,スコットランド,スペイサイド,ザ・ウイスキー・エクスチェンジ,ザ・ウイスキー・エクスチェンジ,55.8,700,グレン エルギン蒸留所,2008,12
グレンロッシー 2009 11年 カスク 56.5% 700ml ザ・ウイスキー・エクスチェンジ,"香り：最初はバターアイシングとカリカリのリンゴで、甘いペストリー、オートケーキ、焼きりんごが姿を現します。フルーティーなキャラメルは、パリッとしたが甘い洋ナシと砂糖入りアーモンドを伴って作られます。
味わい：始めるのはとても甘い：バニラクリームを通してかき混ぜられたリンゴとナシのジャム。熟していないリンゴ、マンゴー、パイナップルのシャープなノートに加えて、緑の葉、刈りたての草、砂糖をまぶしたアーモンド、挽きたての古いオーク材のボード。",https://www.saketry.com/112121.html,スコットランド,スペイサイド,,ザ・ウイスキー・エクスチェンジ,56.5,700,グレンロッシー蒸留所,2009,11
グレンロセス 27年 51.1% 700mlアートオブウイスキー,"香り：濃厚な果樹園のフルーツコンポートに、スパイスをまぶして煮込んだやさしい酸味のフレーバーが薫り。梨のしずくと本物の梨は、スライスしたてのリンゴと乾燥したリンゴの両方のニュアンスを備え、スパイシーな焼きりんごの香りに誘います。
味わい：それは、果樹園の果実の甘さから始まります。スパイスな味わいが現れ、バターを塗ったペストリーが中央に感じられます。サルタナとピーチが感じられ、その後、スパイシーな味わいの印象になります。",https://www.saketry.com/112122.html,スコットランド,スペイサイド,アート・オフ・ウイスキー,ザ・ウイスキー・エクスチェンジ,51.1,700,グレンロセス蒸留所,,27
グレントファース 19年 53.5% 700mlアートオブウイスキー,"香り：リンゴの花、白桃、大麦の砂糖、カリカリのアイシング。梨の滴のフレーバー、より桃色の香りが伴います。砂糖漬けのフレーバーが現れます。
味わい：クリーミーな食感と風味で、柔らかなバニラとホイップクリームに続いて、フレッシュで少し熟していないプラムとホットシナモンスパイスが続きます。熱が消え、後ろからミネラルノートがのぞき、フルーツボイルドスイーツ、砂糖漬けのレモン、ワインガムがあります。
フィニッシュ：花のノートが現れてから消え、綿菓子に置き換わります。桃と洋ナシは、ダークでオークのようなスパイスの余韻が続きます。",https://www.saketry.com/112123.html,スコットランド,スペイサイド,アート・オフ・ウイスキー,ザ・ウイスキー・エクスチェンジ,53.5,700,グレントファース蒸留所,,19
ミルトンダフ 17年 54.5% 700ml アートオブウイスキー,"味わい：甘酸っぱいリンゴがバタービスケットの芯に巻かれています。鼻からのサルタナの多くは、柔らかいスパイスの振りかけとともに広がります。キャラメルと燃えがらのタフィーの濃い色のノートが下にあり、ピリッとしたフルーツをトッピングしたタルトタタンが感じられます。
フィニッシュ：果物はすぐに消え、オークのスパイス、より多くのビスケット、そしてレーズンの余韻が残ります。",https://www.saketry.com/112125.html,スコットランド,スペイサイド,アート・オフ・ウイスキー,ザ・ウイスキー・エクスチェンジ,54.5,700,ミルトンダフ蒸留所,,17
スプリングバンク 24年 51.7% 700mlアートオブウイスキー,"香り：ブラッケンとソフトジンジャーブレッドマンがリードし、豊かな大地の様な甘さが続きます。木の煙と農場の香りのニュアンスが後ろに隠れ、ナッツの香りの層が下にあり、甘いクリームが上に現れてきます。
味わい：土っぽさ、甘さ、そしてほんの少しの煙が始まります。甘い木と湿った泥炭。スパイスとレモンの皮とともに、チョコレートのようなヒントが現れます。シャーベットのうずきはあるものの、より多くのココアと少し濁った感じで、重厚な味わいが続きます。
フィニッシュ：花の香りとシャーベットが残り、ついに砂糖漬けのレモンの皮と素朴なスパイスに取って代わられます。",https://www.saketry.com/112126.html,スコットランド,キャンベルタウン,アート・オフ・ウイスキー,ザ・ウイスキー・エクスチェンジ,51.7,700,スプリングバンク,,24
グレントファース 1996 25年 カスク #1197 48.5% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/112127.html,スコットランド,スペイサイド,ディスティラリーズ・コレクション,ベリー・ブラザーズ＆ラッド,48.5,700,グレントファース蒸留所,1996,25
タリスカー シェリー・ウッド 1993 27年 50.5%ハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112128.html,スコットランド,アイランズ,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,50.5,700,タリスカー蒸留所,1993,27
フレーミングハート ブレンデッドモルトスコッチウイスキー 48.9% 700mlコンパスボックス,"香り：ゴールデンレーズン、フローラル、ハチミツ、干し草、キャンドルワックス、熟れすぎたフルーツ、バニラ、そして少しシャープなフェノールスモーク。
味わい：蜂蜜、泥炭、果物、メロン、カカオ、焦げた肉、ワックス、ヨウ素、バニラ。",https://www.saketry.com/112130.html,スコットランド,,コンパスボックス,コンパスボックス,48.9,700,,,
ザ・スパイス・ツリー ブレンデッドモルトスコッチウイスキー 46% 700mlコンパスボックス,"香り：乾燥したハーブ、スパイス、オーク、バニラを伴う香ばしい香り。
味わい：ジンジャーナッツビスケット、トフィースパイス、ハーブ、バニラ、非常に濃厚でコショウのようなピリッとした味わい。",https://www.saketry.com/112131.html,スコットランド,,コンパスボックス,コンパスボックス,46,700,,,
ブティック・ウイスキー・カンパニー ワールド・ウイスキー・ブレンド 41.6% 700mlブティック・ウイスキー・カンパニー,"香り：焼きたてのパン、ハチミツ、ほんのりオレンジマーマレード、ブラウンシュガー、リンゴのコンポート。
味わい：ハチミツ、アップルパイ、洋ナシ、暖かみのあるスパイスが加わり、徐々にバニラやトフィーへと変化。",https://www.saketry.com/112132.html,イングランド,,ブティック・ウイスキー・カンパニー,ブティック・ウイスキー・カンパニー,41.6,700,,,
グレンアラヒー ナパヴァレーレッドワインカスク 2010 10年 53.7% 700mlグレンアラヒー,,https://www.saketry.com/112134.html,スコットランド,スペイサイド,グレンアラヒー,グレンアラヒー,53.7,700,グレンアラヒー蒸留所,2010,10
モートラック 16年 52.6% 700mlハートブラザーズファイネスト・コレクション,,https://www.saketry.com/112135.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,52.6,700,モートラック蒸留所,2004,16
ダルユーイン 21年 52.8% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112136.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,52.8,700,ダルユーイン蒸留所,1999,21
グレントファース 22年 47.9% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112137.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,47.9,700,グレントファース蒸留所,1996,22
グレントファース 22年 50.2% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112138.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,50.2,700,グレントファース蒸留所,1996,22
ストラスミル シェリー・バット 26年 48.1% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112139.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,48.1,700,ストラスミル蒸留所,1995,26
グレントファース 28年 50.5% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112140.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,50.5,700,グレントファース蒸留所,1992,28
ベンリアック ポートウッド  14年 51.9% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112141.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,51.9,700,ベンリアック,,14
ブナハーブン 2013 7年 ヘヴィリーピーテッド バーボンカスク 53.5% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112142.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,53.5,700,ブナハーブン蒸留所,2013,7
ウィリアムソン 2005 14年 アイラ ブレンデッド モルト バーボンカスク 51% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112143.html,スコットランド,アイラ,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,51,700,,2005,14
インチガワー 2001 19年 ソーテルヌ フィニッシュ 49.5% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112144.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,49.5,700,インチガワー蒸溜所,2001,19
マクダフ 2003 16年 ポート フィニッシュ 51% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112145.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,51,700,マクダフ,2003,16
マノックモア 2009 12年 リフィル シェリー カスク 54.5% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112146.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,54.5,700,マノックモア蒸留所,2009,12
ブレアソール 2009 11年 シェリー ウッド マチュアド 52.5% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112147.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,52.5,700,ブレアソール蒸留所,2009,11
オールドロスデュー 1994 27YO Bourbon Cask 47% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112148.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,47,700,ロッホローモンド蒸留所,1994,27
インバゴードン 1990 30年 バーボンカスク 42.5% 700mlザ・クーパーズ・チョイス,,https://www.saketry.com/112149.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ヴィンテージ・モルト・ウイスキー・カンパニー,42.5,700,インバーゴードン蒸溜所,1990,30
ザ・テイスター グレンロセス 1996 23年 49.1% 700mlザ・テイスター,,https://www.saketry.com/112150.html,スコットランド,スペイサイド,ザ・テイスター,,49.1,700,グレンロセス蒸留所,1996,23
ザ・テイスター グレンマレイ 2007 12年 51.8% 700mlザ・テイスター,"アロマ：トップノートには青リンゴとレモンピールのハーモニー。続いて熟したプラムやクランベリー、リースリング、夏の草花、スパイスなどが次々と現れる。すっきりとしたフルーティな熟成香が心地いい。
フレーバー：甘酸っぱくドライな風味が口中に広がる。アプリコットジャム、ビターオレンジ、新鮮なキウイ、ライム、ピンクペッパーなども感じる。フィニッシュにはタンニン。スパイシーで甘い余韻が長く続く。",https://www.saketry.com/112151.html,スコットランド,スペイサイド,ザ・テイスター,ザ・ウィスキー・エージェンシー,51.8,700,グレンマレイ蒸留所,2007,13
ザ・イリデセント・カスク シークレット アイラ ディスティラリー 2014 バット 52.9% 700mlザ・イリデセント・カスク,,https://www.saketry.com/112152.html,スコットランド,アイラ,ザ・イリデセント・カスク,ザ・ウィスキー・エージェンシー,52.9,700,,2014,6
シークレット ハイランド ディスティラリー 1985 46.6% 700mlザ・テイスター,フィニッシュ：トウガラシとトロピカルフルーツが出てきて、長くいつまでも続く。,https://www.saketry.com/112154.html,スコットランド,ハイランド,ザ・テイスター,,46.6,700,,1985,35
攻殻機動隊SAC_2045 ラベル シークレット スペイサイド 蒸留所 1993 27年 52.2% 700ml漫画ラベルシリーズ,"アロマ：焼きたてのアップルパイ。プルーン、ナツメヤシ、レーズンなどのドライ・フルーツ。加水すると花のような香りが出る。
フレーバー：黒砂糖の甘さ、ドライ・フルーツの酸味が、ウッディさを包んでいる。フィニッシュは心地よく長い。加水する硬さが弱まり、スムーズになる。",https://www.saketry.com/112157.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,52.2,700,,1993,27
ウイスキートレイル サムライシリーズ マノックモア 2008 12年 55.8% 700mlウイスキー・トレイル,,https://www.saketry.com/112163.html,スコットランド,スペイサイド,ウイスキー・トレイル,エリクサー・ディスティラーズ,55.8,700,マノックモア蒸留所,2008,12
ウイスキートレイル サムライシリーズ  オークニー 1999 21年 53.6% 700mlウイスキー・トレイル,,https://www.saketry.com/112164.html,スコットランド,アイランズ,ウイスキー・トレイル,エリクサー・ディスティラーズ,53.6,700,,1999,21
ゴルゴ13 ラベル グレンファークラス 2009 11年 60.9% 700ml漫画ラベルシリーズ,"香り：バランスが非常によいシェリー樽ウイスキーの香り。ナツメヤシ、プルーンなどドライフルーツと高級なチョコレート。ウッディさがなく、いつまでも嗅いでいたい。
味わい：最初に少しビターさはあるが、非常にスムーズで、フィニッシュが心地よい。チョコレート味のシュークリーム、ドライフルーツ入りのリッチなケーキ。加水するとおいしい茹で小豆。",https://www.saketry.com/112165.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー・ミュウ,60.9,700,グレンファークラス,2009,11
クロナキルティ シングルバッチ ダブルオーク 43.6% 700mlクロナキルティ,香り：やわらかなスパイスの香り、バニラ、かりたての芝生、わずかに感じるリンゴや洋梨の香りとレザーの香り。味わい：クベバ・ペッパー、生姜などのやわらかなスパイス、かりたての芝生、ヘーゼルナッツやアーモンドのテイスト後味：甘いバニラとスパイスの余韻が長く続く。,https://www.saketry.com/112166.html,アイルランド,,クロナキルティ,クロナキルティ,43.6,700,クロナキルティ蒸留所,,
クロナキルティ ポートカスクフィニッシュ 43.6% 700mlクロナキルティ,香り：フレッシュな甘いリンゴや熟れたピーチの香り。クリーミーでほんのりと木の香りを感じる。味わい：チェリーやレーズンを思わせるフルーティーな味わい。カルダモンやチリなどのやわらかなスパイス感。後味：やわらかなスパイスと、ほのかなチョコレート感が程よく続く。,https://www.saketry.com/112167.html,アイルランド,,クロナキルティ,クロナキルティ,43.6,700,クロナキルティ蒸留所,,
クロナキルティ シングルグレーン ボルドーフィニッシュ 43.6% 700mlクロナキルティ,香り：トーストしたオークと甘いレッドベリーの香り。味わい：バニラ、ウッドスパイス、ハチミツ、イチゴのフルーティーな味わい。後味：粗挽きのペッパーとウッドスパイスの香り。余韻長くフルーティーさも感じる。,https://www.saketry.com/112168.html,アイルランド,,クロナキルティ,クロナキルティ,43.6,700,クロナキルティ蒸留所,,
デイドリーム 第3 ダルユーイン 2009 11年 57.7% 700mlデイドリーム,"香り：スイカズラ、熟した黄色リンゴ、洋ナシ、綿あめ、ハチミツ、モルト
味わい：オイリー、リンゴの砂糖煮、バニラビスケット、マジパン、カカオ",https://www.saketry.com/112169.html,スコットランド,スペイサイド,デイドリーム,,57.7,700,ダルユーイン蒸留所,2009,11
グレンバーギー 2008 12年 シェリー樽 54.5% 700mlザ・モルトマン,,https://www.saketry.com/112170.html,スコットランド,スペイサイド,ザ・モルトマン,メドウサイド・ブレンディング,54.5,700,グレンバーギー蒸留所,2008,12
ザ・グレナリー 1990 30年 47.3% 700mlザ・グレナリー,,https://www.saketry.com/112171.html,スコットランド,,ザ・グレナリー,メドウサイド・ブレンディング,47.3,700,,,30
ティーニニック 12年 リフィル シェリーバット 51.6% 700mlザ・モルトマン,,https://www.saketry.com/112172.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,51.6,700,ティーニニック蒸留所,2008,12
シークレット オークニー 18年 51.4% 700mlザ・モルトマン,,https://www.saketry.com/112173.html,スコットランド,アイランズ,ザ・モルトマン,メドウサイド・ブレンディング,51.4,700,,2002,18
コッツウォルズ STR カスク スペシャル・ボトリング 60.5% 700mlコッツウォルズ,"香り： レーズン、ジンジャー、ドライオレンジの軽い香り。
味わい： 濃厚なチョコレートのなかにイチジク、チェリーを感じる。
フィニッシュ： リッチでフルーティー。甘いジャムとジンジャー、クローブスパイスの長い余韻。",https://www.saketry.com/112175.html,イングランド,コッツウォルズ,コッツウォルズ,コッツウォルズ,60.5,700,コッツウォルズ蒸留所,,
グレンファークラス ザ・ファミリー・リザーブ 第2 1997 マデイラ カスク 【日本限定】 50.7% 700mlグレンファークラス,,https://www.saketry.com/112177.html,スコットランド,スペイサイド,グレンファークラス,,50.7,700,グレンファークラス,1997,
オーヘントッシャン 1998 22年 50.9% 700mlザ・テイスター,"香り：トップにミックス・スパイスをいくぶん伴う、かすかにフレッシュなレモンの皮。
味わい：最初クリーミーで、白胡椒をともない、レモンのフレーバーが、オレンジの皮に移行する。
フィニッシュ：黒胡椒が出てきて、長さはミディアム・ロング。",https://www.saketry.com/112183.html,スコットランド,ローランド,ザ・テイスター,,50.9,700,,1998,22
ザ・テイスター グレン グラント 1997 24年 49.6% 700mlザ・テイスター,"香り：密入りのリンゴ、熟した洋梨、バナナケーキ、ヒースの花と蜜、バニラ、ホワイトペッパー、新木系のスパイス。
味わい：レモンキャンディ、砂糖をまぶしたグレープフルーツ、サイダーアップル、蜂蜜を塗ったトースト、干し草、セージ。
フィニッシュ：桃の皮、ドライアプリコット、甘やかな果実の香味と鼻孔をぬける仄かなミントが心地良い。",https://www.saketry.com/112185.html,スコットランド,スペイサイド,ザ・テイスター,,49.6,700,グレングラント蒸留所,1997,24
ヘンプスパロー カリラ2016 スモールバッチ 2016 4年 60% 700mlヘンプスパロー,香り：スモーク香、海藻、潮気、レモンピール、バニラクリーム、ウエハース味：ピートスモーク、オイリー、バニラクリーム、塩、ビスケット、砂糖漬けレモンピール,https://www.saketry.com/112186.html,スコットランド,アイラ,ヘンプ・スパロー,,60,700,カリラ,2016,4
科学忍者隊ガッチャマン ラベル ニア・バリンダロッホ2004 16年 50.9% 700ml漫画ラベルシリーズ,"アロマ：野に咲く白い花。繊細なハチミツ。麦芽の殻。ほのかにシナモン。一片のレモンの皮。
フレーバー：ラフランスの皮と実。すっきりとした麦汁。樽のニュアンスは弱い。焦げのニュアンスとワクシーさが、徐々に強くなってくる。加水するとスパイシーになる。",https://www.saketry.com/112187.html,スコットランド,,漫画ラベルシリーズ,,50.9,700,,2004,16
マノックモア 2011 9年 60.2% 700mlザ・シングル・モルツ・オブ・スコットランド,香り：ショートブレッド、ハチミツ、ハーブ。,https://www.saketry.com/112190.html,スコットランド,スペイサイド,ザ・シングルモルツ・オブ・スコットランド,,60.2,700,マノックモア蒸留所,2011,9
リンクウッド 2007 13年 54.1% 700mlザ・シングル・モルツ・オブ・スコットランド,香り：シトラス、ブラックペッパー。,https://www.saketry.com/112191.html,スコットランド,スペイサイド,ザ・シングルモルツ・オブ・スコットランド,,54.1,700,リンクウッド蒸留所,2007,13
レダイグ 2004 17年 56.8% 700mlザ・シングル・モルツ・オブ・スコットランド,香り：スモーキー、焼きリンゴ、粉砂糖、ハチミツ。,https://www.saketry.com/112192.html,スコットランド,アイランズ,ザ・シングルモルツ・オブ・スコットランド,,56.8,700,トバモリー蒸留所,2004,17
アイリッシュ 1998 40% 700mlサマローリ,"香り：トップノートには熟したメロンとビワ。続いて、ブラックベリー、フルーツトマト、ドライオレンジ、若葉などが次々と現れる。甘く妖艶で、魅惑的な香りには思わず笑みがこぼれる。
味わい：まず白桃やマンゴーなどが口中に広がり、続いて糖蜜、洋梨、ライチ、パパイヤ、グァバなども感じる。フィニッシュはとてもまろやかで、ネクターのような芳醇な風味が長く続く。",https://www.saketry.com/112193.html,アイルランド,,サマローリ,,40,700,,1998,
グレンアラヒー 2009 43% 700mlサマローリ,"香り：トップノートにはライムピールともろみ。続いて、プラム、ビネガー、草原などが次々と現れる。アロマティックで切れがよく、素朴で嫌味のないアロマには好感が持てる。
味わい：まず麦芽シロップやラズベリーなどが口中に広がり、続いてドライイチジク、シナモン、ペッパー、タンニンなども感じる。フィニッシュはドライでスパイシー。麦芽の甘みが後を引く。",https://www.saketry.com/112194.html,スコットランド,スペイサイド,サマローリ,,43,700,グレンアラヒー蒸留所,2009,
ウルフバーン for THE BRAVES 2021 58.5% 700mlウルフバーン,,https://www.saketry.com/112196.html,スコットランド,ハイランド,ウルフバーン,,58.5,700,ウルフバーン,2016,5
アベラワー マルサラ・ウッド 2010 10年 46% 700mlファイネスト・コレクション,,https://www.saketry.com/112204.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,46,700,アベラワー蒸溜所,2010,10
ストラスアイラ 2010 10年 46% 700mlファイネスト・コレクション,,https://www.saketry.com/112205.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,46,700,ストラスアイラ蒸留所,,10
ビッグピート 将棋エディション,,https://www.saketry.com/112206.html,スコットランド,アイラ,,ダグラスレイン,50,700,,,
駒ケ岳 2021 エディション 48% 700mlマルスウイスキー,,https://www.saketry.com/112207.html,日本,長野,マルスウィスキー,,48,700,マルス信州蒸溜所,,
マノックモア 2009 12年 54.5% 700mlファイネスト・コレクション,,https://www.saketry.com/112209.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,54.5,700,マノックモア蒸留所,2009,12
【日本向け限定】コニサーズ・チョイス ベンリアック 21年 FOR JIS 55.10%  700ml コニサーズ・チョイス,,https://www.saketry.com/112210.html,スコットランド,スペイサイド,コニサーズ・チョイス,Gordon & Macphail,55.1,700,ベンリアック蒸留所,1999,21
【日本向け限定】オールド・モルト・カスク タリスカー シェリー フィニッシュ 2011 7年 OMC 20周年 FOR JIS 56.2%  700mlオールド・モルト・カスク,"香り：シーソルト、スモーク、穏やかなピート。
味わい：塩キャラメル、ビスケット、ピート。
フィニッシュ：スモークが長く続く。",https://www.saketry.com/112211.html,スコットランド,アイランズ,オールド・モルト・カスク,ハンターレイン,56.2,700,タリスカー蒸留所,2011,7
【日本向け限定】オールド・モルト・カスク ラフロイグ 2004 15年 FOR JIS 54.4%  700mlオールド・モルト・カスク,"香り：ピート、海の空気、ヨード。
味わい：焚火の煙、ピート、灰、レモン。
フィニッシュ：いつまでもピートを感じる長いフィニッシュ",https://www.saketry.com/112212.html,スコットランド,アイラ,オールド・モルト・カスク,ハンターレイン,54.4,700,ラフロイグ蒸留所,2004,15
オールド・パティキュラー タリスカー 2010 9年 48.4%  700ml オールド・パティキュラー,,https://www.saketry.com/112213.html,スコットランド,アイランズ,オールド・パティキュラー,ダグラスレイン,48.4,700,タリスカー蒸留所,2010,9
オールド・パティキュラー ラフロイグ 2004 15年 48.4%  700ml オールド・パティキュラー,"香り： 海の香りとスモーキーさがすぐさま感じられ、あとから芳醇な麦芽の香りが漂う。
味わい： 煙突のすす、夏のタール、焚き火の灰や石炭の粉を思わせる風味。
フィニッシュ：これらすべての香りや風味が持つアクセントとニュアンスが、            まるで一緒にカプセルに包まれているような、記憶に残るフィニッシュ。",https://www.saketry.com/112214.html,スコットランド,アイラ,オールド・パティキュラー,ダグラスレイン,48.4,700,ラフロイグ蒸留所,2004,15
スカラバス アイラ シングルモルト 46% スカラバス,"香り： アイラのピートスモークとシーソルトが香る。
味わい： 口に含むと温かいレザーの風味、素晴らしいバニラの甘さが広がる。
フィニッシュ： リッチで長く続くフィニッシュへと導かれる。",https://www.saketry.com/112215.html,スコットランド,アイラ,スカラバス,ハンターレイン,46,700,,,
スカラバス 10年 アイラ シングルモルト 46% 700mlスカラバス,フィニッシュ：甘いピートとフローラルなフレッシュさ,https://www.saketry.com/112216.html,スコットランド,アイラ,スカラバス,ハンターレイン,46,700,,,10
