商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数,tokens,tokens_cleaned
ディーンストン 2014 7年 バーボンカスク 56.5% 700mlザ・クーパーズ・チョイス,"香り：カスタードとバニラ。繊細なシトラス。
味わい：ブラウンシュガーがけのポリッジ（シリアルのおかゆ）。モルトとバニラ。バタースコッチ。香ばしく焼いたシード。
フィニッシュ：クリーミーな大麦とシトラス香が鼻に抜けてゆく。",https://www.saketry.com/112723.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,56.5,700.0,ディーンストン蒸溜所,2014,7,香り ： カスタード と バニラ 。 繊細 な シトラス 。 味わい ： ブラウン シュガー がけ の ポリッジ （ シリアル の おかゆ ） 。 モルト と バニラ 。 バター スコッチ 。 香ばしく 焼い た シード 。 フィニッシュ ： クリーミー な 大麦 と シトラス 香 が 鼻 に 抜け て ゆく 。,カスタード バニラ 繊細 シトラス ブラウン シュガー がけ ポリッジ シリアル おかゆ モルト バニラ バター スコッチ 香ばしく 焼い シード クリーミー 大麦 シトラス 抜け ゆく
グレンタレット ルーアックモア ヘビーピーテッド 2013 9年 バーボンカスク 58% 700mlザ・クーパーズ・チョイス,"香り：柔らかい薫香。土のようなピート。シーソルトをまぶして焼いた肉の香り。
味わい：スモーキーなキャラメル。灰のような苦味とモルトの甘味がバランスを取る。バニラ。海藻とすすのような味わいも感じられる。
フィニッシュ：スモーキーさがより強調され、長い余韻が続く。",https://www.saketry.com/112724.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,58,700.0,グレンタレット蒸溜所,2013,9,香り ： 柔らかい 薫香 。 土 の よう な ピート 。 シーソルト を まぶし て 焼い た 肉 の 香り 。 味わい ： スモーキー な キャラメル 。 灰 の よう な 苦味 と モルト の 甘味 が バランス を 取る 。 バニラ 。 海藻 と すす の よう な 味わい も 感じ られる 。 フィニッシュ ： スモーキー さ が より 強調 さ れ 、 長い 余韻 が 続く 。,柔らかい 薫香 よう ピート シーソルト まぶし 焼い スモーキー キャラメル よう 苦味 モルト 甘味 バランス 取る バニラ 海藻 すす よう られる スモーキー より 強調 長い 余韻 続く
ベンリネス 2010 12年 バーボンカスク 54% 700mlザ・クーパーズ・チョイス,"香り：ハーバルなエッジのあるセイボリーノート。
味わい：大地を感じられる大麦の味わい。グースベリー。黒鉛のニュアンス。クルミによる重厚なボディ。果肉がたっぷり詰まった黄色のフルーツ。
フィニッシュ：白コショウ。ドライな余韻が続く。",https://www.saketry.com/112727.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54,700.0,ベンリネス蒸溜所,2010,12,香り ： ハー バル な エッジ の ある セイボリーノート 。 味わい ： 大地 を 感じ られる 大麦 の 味わい 。 グースベリー 。 黒鉛 の ニュアンス 。 クルミ による 重厚 な ボディ 。 果肉 が たっぷり 詰まっ た 黄色 の フルーツ 。 フィニッシュ ： 白 コショウ 。 ドライ な 余韻 が 続く 。,ハー バル エッジ セイボリーノート 大地 られる 大麦 グースベリー 黒鉛 ニュアンス クルミ による 重厚 ボディ 果肉 たっぷり 詰まっ 黄色 フルーツ コショウ ドライ 余韻 続く
ダルユーイン 2010 12年 バーボンカスク 54.5% 700mlザ・クーパーズ・チョイス,"香り：フレッシュでグリストした大麦が香る。グレープフルーツ。
味わい：ライムとグリーンバナナ。クルミとバタースコッチを伴うハニーバニラ。ほのかにオイリー。
フィニッシュ：微かなおが屑を感じさせるミディアムレングス。",https://www.saketry.com/112728.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,54.5,700.0,ダルユーイン蒸溜所,2010,12,香り ： フレッシュ で グリスト し た 大麦 が 香る 。 グレープフルーツ 。 味わい ： ライム と グリーン バナナ 。 クルミ と バター スコッチ を 伴う ハニーバニラ 。 ほのか に オイリー 。 フィニッシュ ： 微か な おが屑 を 感じ させる ミディアムレングス 。,フレッシュ グリスト 大麦 香る グレープフルーツ ライム グリーン バナナ クルミ バター スコッチ 伴う ハニーバニラ オイリー おが屑 させる ミディアムレングス
グレンエルギン 2010 12年 マデイラカスク フィニッシュ 55% 700mlザ・クーパーズ・チョイス,"香り：ドライフルーツ。キャラメルとスパイス。
味わい：柔らかなシェリーノート。キャラメルファッジとカレーのスパイシーさ。煮込んだ果実。
フィニッシュ：フルーツとスパイシーさがより強調され長く続く。",https://www.saketry.com/112729.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,55,700.0,グレンエルギン蒸溜所,2010,12,香り ： ドライ フルーツ 。 キャラメル と スパイス 。 味わい ： 柔らか な シェリー ノート 。 キャラメルファッジ と カレー の スパイシー さ 。 煮込ん だ 果実 。 フィニッシュ ： フルーツ と スパイシー さ が より 強調 さ れ 長く 続く 。,ドライ フルーツ キャラメル スパイス 柔らか シェリー キャラメルファッジ カレー スパイシー 煮込ん 果実 フルーツ スパイシー より 強調 長く 続く
グレングラッサ 2014 8年 ポートウッドフィニッシュ 53.5% 700mlザ・クーパーズ・チョイス,"香り：青りんごの皮のようなフレッシュさとフルーティーさ。
味わい：若草のようなレモンのシトラスとバニラ。ジンジャー。アップルパイ。
フィニッシュ：フルーツの香り高さが鼻に抜けてゆく。",https://www.saketry.com/112730.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,53.5,700.0,グレングラッサ蒸溜所,2014,8,香り ： 青 りんご の 皮 の よう な フレッシュ さ と フルーティー さ 。 味わい ： 若草 の よう な レモン の シトラス と バニラ 。 ジンジャー 。 アップルパイ 。 フィニッシュ ： フルーツ の 香り 高 さ が 鼻 に 抜け て ゆく 。,りんご よう フレッシュ フルーティー 若草 よう レモン シトラス バニラ ジンジャー アップルパイ フルーツ 抜け ゆく
リンクウッド 2011 10年 バーボンカスク 52.5% 700mlザ・クーパーズ・チョイス,"香り：フレッシュなフローラルノート。芳香性。密かに若草とバラが香る。
味わい：甘いシロップ。大麦の甘さとかすかなスパイシーさを伴うアップルコンポート。
フィニッシュ：甘い芳香性とスパイスが感じられる。",https://www.saketry.com/112731.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700.0,リンクウッド蒸溜所,2011,10,香り ： フレッシュ な フローラルノート 。 芳香 性 。 密か に 若草 と バラ が 香る 。 味わい ： 甘い シロップ 。 大麦 の 甘 さ と かすか な スパイシー さ を 伴う アップル コンポート 。 フィニッシュ ： 甘い 芳香 性 と スパイス が 感じ られる 。,フレッシュ フローラルノート 芳香 密か 若草 バラ 香る 甘い シロップ 大麦 スパイシー 伴う アップル コンポート 甘い 芳香 スパイス られる
ストラスミル 2010 12年 マルサラカスク フィニッシュ 51% 700mlザ・クーパーズ・チョイス,"香り：砂糖とアーモンドの洋菓子。塩キャラメル。
味わい：ミルクチョコレート。蜜蝋の風味のキャラメルファッジ。ナツメグと砂糖漬けのフルーツ。
フィニッシュ：キャラメルファッジの風味が協調されたミディアムレングス。最後にスパイスも感じられる。",https://www.saketry.com/112733.html,スコットランド,スペイサイド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,51,700.0,ストラスミル蒸溜所,2010,12,香り ： 砂糖 と アーモンド の 洋菓子 。 塩 キャラメル 。 味わい ： ミルク チョコレート 。 蜜蝋 の 風味 の キャラメルファッジ 。 ナツメグ と 砂糖 漬け の フルーツ 。 フィニッシュ ： キャラメルファッジ の 風味 が 協調 さ れ た ミディアムレングス 。 最後 に スパイス も 感じ られる 。,砂糖 アーモンド 洋菓子 キャラメル ミルク チョコレート 蜜蝋 風味 キャラメルファッジ ナツメグ 砂糖 漬け フルーツ キャラメルファッジ 風味 協調 ミディアムレングス 最後 スパイス られる
クラウニングカスク グレンマレイ 1991 30年 ホグスヘッド 55.2% 700MLクラウニングカスク,"香り：過熟したリンゴ、べっこう飴、ハチミツ、砂糖衣の赤ブドウ、ブラウンシュガー、オーク。
味わい：ハチミツ、熟れたリンゴ、黄桃のシロップ煮、ジンジャー、ナツメグ、ミント。
フィニッシュ：蜜蠟、紅茶、長い余韻。",https://www.saketry.com/112740.html,スコットランド,スペイサイド,スペイサイド,,55.2,700.0,グレンマレイ蒸溜所,1991,30,香り ： 過 熟 し た リンゴ 、 べ っ こう 飴 、 ハチミツ 、 砂糖 衣 の 赤 ブドウ 、 ブラウン シュガー 、 オーク 。 味わい ： ハチミツ 、 熟れ た リンゴ 、 黄 桃 の シロップ 煮 、 ジンジャー 、 ナツメグ 、 ミント 。 フィニッシュ ： 蜜 蠟 、 紅茶 、 長い 余韻 。,リンゴ こう ハチミツ 砂糖 ブドウ ブラウン シュガー オーク ハチミツ 熟れ リンゴ シロップ ジンジャー ナツメグ ミント 紅茶 長い 余韻
コンパスボックス オーチャードハウス ブレンデッド モルト ウイスキー 46% 700MLコンパスボックス,"香り：アップル、洋梨、ライムキャンディー。
味わい：ワクシ、洋梨、アップルティー、ハニー、レモンやライム柑橘のビール。
フィニッシュ：茶葉の心地よいビターが続く。",https://www.saketry.com/112748.html,スコットランド,,オーチャードハウス,,46,700.0,,,,香り ： アップル 、 洋梨 、 ライム キャンディー 。 味わい ： ワクシ 、 洋梨 、 アップル ティー 、 ハニー 、 レモン や ライム 柑橘 の ビール 。 フィニッシュ ： 茶 葉 の 心地よい ビター が 続く 。,アップル 洋梨 ライム キャンディー ワクシ 洋梨 アップル ティー ハニー レモン ライム 柑橘 ビール 心地よい ビター 続く
ダイナソー ウィリアムソン 2010 11年 バレル 54.0% 700MLダイナソーシリーズ,"香り：ヨード、磯、スモーク、メンソール、レモン柑橘。
味わい：ヨードと海藻、太いスモーク、ブラックペッパー&メンソール、奥にはレモンキャンディー。
フィニッシュ：ホットなペッパー、スモーク＆クローブがディープに続く。",https://www.saketry.com/112749.html,スコットランド,アイラ,ダイナソー シリーズ,,54,700.0,,2010,11,香り ： ヨード 、 磯 、 スモーク 、 メンソール 、 レモン 柑橘 。 味わい ： ヨード と 海藻 、 太い スモーク 、 ブラックペッパー & メンソール 、 奥 に は レモン キャンディー 。 フィニッシュ ： ホット な ペッパー 、 スモーク ＆ クローブ が ディープ に 続く 。,ヨード スモーク メンソール レモン 柑橘 ヨード 海藻 太い スモーク ブラックペッパー メンソール レモン キャンディー ホット ペッパー スモーク クローブ ディープ 続く
ダークネス クライゲラキ 10年 63.8% 500MLダークネスシリーズ,"香り：ローストした麦芽、洋ナシのコンポート、焦がし砂糖、オーク、ペッパー。
味わい：シェリー、マデイラケーキ、ドライアプリコット、サルタナ、ショウガ糖。",https://www.saketry.com/112750.html,スコットランド,スペイサイド,ダークネスシリーズ,アトンブランズ,63.3,500.0,クライゲラキ蒸溜所,,10,香り ： ロースト し た 麦芽 、 洋 ナシ の コンポート 、 焦がし 砂糖 、 オーク 、 ペッパー 。 味わい ： シェリー 、 マデイラケーキ 、 ドライアプリコット 、 サル タナ 、 ショウガ 糖 。,ロースト 麦芽 ナシ コンポート 焦がし 砂糖 オーク ペッパー シェリー マデイラケーキ ドライアプリコット サル タナ ショウガ
ダークネス グレンロセス 12年 60.6% 500MLダークネス シリーズ,"香り：キャラメル、メロン、バナナ、微かにパイプの煙。
味わい：ドライフルーツ、焦げた佐藤、ウッドスパイス、砂糖漬けフルーツ。",https://www.saketry.com/112751.html,スコットランド,スペイサイド,ダークネスシリーズ,アトンブランズ,60.6,500.0,グレンロセス蒸溜所,,12,香り ： キャラメル 、 メロン 、 バナナ 、 微か に パイプ の 煙 。 味わい ： ドライ フルーツ 、 焦げ た 佐藤 、 ウッド スパイス 、 砂糖 漬け フルーツ 。,キャラメル メロン バナナ パイプ ドライ フルーツ 焦げ 佐藤 ウッド スパイス 砂糖 漬け フルーツ
ダークネス ブレアソール 14年 52.0% 500MLダークネス シリーズ,"香り：赤い果実、モルト、チョコレート、土っぽさ、オーク。
味わい：プラリネチョコレート、プラム、松、オーク、ミネラル。",https://www.saketry.com/112752.html,スコットランド,ハイランド,ダークネスシリーズ,アトンブランズ,52,700.0,ブレアソール蒸溜所,,14,香り ： 赤い 果実 、 モルト 、 チョコレート 、 土 っぽ さ 、 オーク 。 味わい ： プラリネチョコレート 、 プラム 、 松 、 オーク 、 ミネラル 。,赤い 果実 モルト チョコレート っぽ オーク プラリネチョコレート プラム オーク ミネラル
ダークネス ポートシャーロット 14年 50.8% 500MLダークネス シリーズ,"香り：ココア、レッドカラント、海藻、ヴィンテージレザー。
味わい：ドライフルーツ、ピートスモーク、塩、ペッパー、オーク、オイリー。",https://www.saketry.com/112753.html,スコットランド,アイラ,ダークネスシリーズ,アトンブランズ,50.8,500.0,ブルックラディ蒸溜所,,14,香り ： ココア 、 レッドカラント 、 海藻 、 ヴィンテージレザー 。 味わい ： ドライ フルーツ 、 ピートスモーク 、 塩 、 ペッパー 、 オーク 、 オイリー 。,ココア レッドカラント 海藻 ヴィンテージレザー ドライ フルーツ ピートスモーク ペッパー オーク オイリー
ダークネス バルメナック 16年 61.1% 500MLダークネス シリーズ,"香り：チョコピーナッツ、ピーカンナッツ、シナモン、ブラウンシュガー。
味わい：ピーナツバター、キャラメル、ベリー、ミルクビスケット、チョコレーズン。",https://www.saketry.com/112754.html,スコットランド,スペイサイド,ダークネスシリーズ,アトンブランズ,61.1,500.0,バルメナック蒸溜所,,16,香り ： チョコ ピーナッツ 、 ピーカンナッツ 、 シナモン 、 ブラウン シュガー 。 味わい ： ピーナツバター 、 キャラメル 、 ベリー 、 ミルク ビスケット 、 チョコ レーズン 。,チョコ ピーナッツ ピーカンナッツ シナモン ブラウン シュガー ピーナツバター キャラメル ベリー ミルク ビスケット チョコ レーズン
ダークネス ウィットロー 16年 55.0% 500MLダークネス シリーズ,"香り：潮風、シトラス、シェリー、プラム、焦げた草、レザー。
味わい：ピートスモーク、バニラ、ドライフルーツ、クリスマスプディング、塩。",https://www.saketry.com/112755.html,スコットランド,オークニー,ダークネスシリーズ,アトンブランズ,55,500.0,ウィットロー,,16,香り ： 潮風 、 シトラス 、 シェリー 、 プラム 、 焦げ た 草 、 レザー 。 味わい ： ピートスモーク 、 バニラ 、 ドライ フルーツ 、 クリスマス プディング 、 塩 。,潮風 シトラス シェリー プラム 焦げ レザー ピートスモーク バニラ ドライ フルーツ クリスマス プディング
ダークネス ブレアソール 18年 48.4% 500MLダークネス シリーズ,"香り：シロップ、ローストナッツ、ミルクコーヒー、スパイス。
味わい：プラム、ハチミツ、イチジク、アプリコット、ナッツ、チョコレート。",https://www.saketry.com/112756.html,スコットランド,ハイランド,ダークネスシリーズ,アトンブランズ,49.4,500.0,ブレアソール蒸溜所,,18,香り ： シロップ 、 ロースト ナッツ 、 ミルク コーヒー 、 スパイス 。 味わい ： プラム 、 ハチミツ 、 イチジク 、 アプリコット 、 ナッツ 、 チョコレート 。,シロップ ロースト ナッツ ミルク コーヒー スパイス プラム ハチミツ イチジク アプリコット ナッツ チョコレート
ダークネス ボウモア 18年 54.9% 500MLダークネス　シリーズ,"香り：潮風、ローストしたアーモンド、生ハム、タバコ。
味わい：サルタナ、塩漬けのレモン、ピートスモーク、オールドレザー。",https://www.saketry.com/112757.html,スコットランド,アイラ,ダークネスシリーズ,アトンブランズ,54.9,500.0,ボウモア蒸溜所,,18,香り ： 潮風 、 ロースト し た アーモンド 、 生 ハム 、 タバコ 。 味わい ： サル タナ 、 塩漬け の レモン 、 ピートスモーク 、 オールド レザー 。,潮風 ロースト アーモンド ハム タバコ サル タナ 塩漬け レモン ピートスモーク オールド レザー
ダークネス テネシー ライウイスキー 5年 49.6% 500MLダークネス シリーズ,"香り：レモンシャーベット、チョコレート、チリペッパー、オーク。
味わい：バニラクリーム、チョコミント、わずかにバター、オールスパイス、杉",https://www.saketry.com/112758.html,アメリカ,テネシー,ダークネスシリーズ,アトンブランズ,49.6,500.0,,,5,香り ： レモン シャーベット 、 チョコレート 、 チリペッパー 、 オーク 。 味わい ： バニラ クリーム 、 チョコ ミント 、 わずか に バター 、 オール スパイス 、 杉,レモン シャーベット チョコレート チリペッパー オーク バニラ クリーム チョコ ミント バター オール スパイス
ダークネス テネシー バーボン ウイスキー 52.2% 500MLダークネス シリーズ,"香り：ジンジャーブレッドケーキ、ハニーアップル、シナモン、デーツ。
味わい：チョコチップクッキー、サルタナ、ブラウンシュガー。",https://www.saketry.com/112759.html,アメリカ,テネシー,ダークネスシリーズ,アトンブランズ,52.2,500.0,,,12,香り ： ジンジャーブレッドケーキ 、 ハニーアップル 、 シナモン 、 デーツ 。 味わい ： チョコチップクッキー 、 サル タナ 、 ブラウン シュガー 。,ジンジャーブレッドケーキ ハニーアップル シナモン デーツ チョコチップクッキー サル タナ ブラウン シュガー
ボウモア 1997 24年 ホグスヘッド 58.8 700MLセレブレーション オブ ザ カスク,"香り：穏やかなピート香と共に海藻、べっこう飴、日に焼けた木材、ほんのりラベンダーのアクセント。
味わい：甘く、和三盆の甘味、ジンジャー、文旦、丸みのあるピートスモーク。
フィニッシュ：ビターチョコが加わり全体を引き締める。",https://www.saketry.com/112776.html,スコットランド,アイラ,セレブレーション・オブ・ザ・カスク,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),58.8,700.0,ボウモア蒸溜所,1997,24,香り ： 穏やか な ピート 香 と共に 海藻 、 べ っ こう 飴 、 日 に 焼け た 木材 、 ほんのり ラベンダー の アクセント 。 味わい ： 甘く 、 和 三盆 の 甘味 、 ジンジャー 、 文旦 、 丸み の ある ピートスモーク 。 フィニッシュ ： ビターチョコ が 加わり 全体 を 引き締める 。,穏やか ピート と共に 海藻 こう 焼け 木材 ほんのり ラベンダー アクセント 甘く 三盆 甘味 ジンジャー 文旦 丸み ピートスモーク ビターチョコ 加わり 全体 引き締める
グレンロッシ― 1995 26年 ホグスヘッド 55.5% 700MLセレブレーション オブ ザ カスク,"香り：黄桃、プラム、バニラ、微かに熟成バルサミコを感じる。
味わい：熟れたメロンの甘味、バニラ、オレンジマーマレード、ほんのりオークのタンニン。
フィニッシュ：モルティさが鼻に抜けて行く。",https://www.saketry.com/112777.html,スコットランド,スペイサイド,セレブレーション・オブ・ザ・カスク,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),55.5,700.0,グレンロッシー蒸溜所,1995,26,香り ： 黄 桃 、 プラム 、 バニラ 、 微か に 熟成 バルサミコ を 感じる 。 味わい ： 熟れ た メロン の 甘味 、 バニラ 、 オレンジ マーマレード 、 ほんのり オーク の タンニン 。 フィニッシュ ： モルティ さ が 鼻 に 抜け て 行く 。,プラム バニラ 熟成 バルサミコ 感じる 熟れ メロン 甘味 バニラ オレンジ マーマレード ほんのり オーク タンニン モルティ 抜け 行く
インペリアル 1994 27年 バーボンバレル 51.8% 700MLセレブレーション オブ ザ カスク,"香り：バニラ、カステラ、マーマレード、ほのかにグレープシードオイル。
味わい：オレンジクリーム、アプリコット、バニラワップル、
フィニッシュ：甘い余韻が長く続く。",https://www.saketry.com/112778.html,スコットランド,スペイサイド,セレブレーション・オブ・ザ・カスク,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),51.8,700.0,インペリアル蒸溜所,1994,27,香り ： バニラ 、 カステラ 、 マーマレード 、 ほのか に グレープシードオイル 。 味わい ： オレンジ クリーム 、 アプリコット 、 バニラワップル 、 フィニッシュ ： 甘い 余韻 が 長く 続く 。,バニラ カステラ マーマレード グレープシードオイル オレンジ クリーム アプリコット バニラワップル 甘い 余韻 長く 続く
マッカラン 1991 31年 バーボンバレル 47.7% 700MLセレブレーション オブ ザ カスク,"香り：バニラクリープ、ドライパイナップル、白ブドウ。奥には蜜蠟やプラムが感じられる。
味わい：なめらかで柔らかな甘みが広がる、黄桃やパイナップルの入ったバニラクリームの味わい。トーストしたオークやタンニンを感じる紅茶。
フィニッシュ：ハチミツの柔らかな甘み、長い余韻が続く。",https://www.saketry.com/112779.html,スコットランド,スペイサイド,セレブレーション・オブ・ザ・カスク,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),47.7,700.0,マッカラン蒸溜所,1991,31,香り ： バニラクリープ 、 ドライ パイナップル 、 白 ブドウ 。 奥 に は 蜜 蠟 や プラム が 感じ られる 。 味わい ： なめらか で 柔らか な 甘み が 広がる 、 黄 桃 や パイナップル の 入っ た バニラ クリーム の 味わい 。 トースト し た オーク や タンニン を 感じる 紅茶 。 フィニッシュ ： ハチミツ の 柔らか な 甘み 、 長い 余韻 が 続く 。,バニラクリープ ドライ パイナップル ブドウ プラム られる なめらか 柔らか 甘み 広がる パイナップル 入っ バニラ クリーム トースト オーク タンニン 感じる 紅茶 ハチミツ 柔らか 甘み 長い 余韻 続く
HL OMC クライゲラヒ 2007 14年 シェリ― バット 50% 700MLオールドモルトカスク,"香り：トフィー、フレッシュハーブ、アップルスピリッツァー。
味わい：ピーチ、レッドベリー、ミルクチョコレート。
フィニッシュ：ペッパーとスパイスがいつまでも続く長いフィニッシュ。",https://www.saketry.com/112781.html,スコットランド,スペイサイド,オールド・モルト・カスク,ハンターレイン,50,700.0,クライゲラヒ蒸溜所,2007,14,香り ： トフィー 、 フレッシュ ハーブ 、 アップルスピリッツァー 。 味わい ： ピーチ 、 レッド ベリー 、 ミルク チョコレート 。 フィニッシュ ： ペッパー と スパイス が いつ まで も 続く 長い フィニッシュ 。,トフィー フレッシュ ハーブ アップルスピリッツァー ピーチ レッド ベリー ミルク チョコレート ペッパー スパイス いつ まで 続く 長い
HL OMC ジュラ 2008 2008 13年 シェリー バット 50% 700MLオールドモルトカスク,"香り：ファッジ、レモンカード、土気。
味わい：煮込んだ洋ナシ、ジンジャー甘酢漬け、オークの木屑。
フィニッシュ：甘いオークのニュアンスが長く続くフィニッシュ。",https://www.saketry.com/112782.html,スコットランド,アイランズ,オールド・モルト・カスク,ハンターレイン,50,700.0,アイル オブ ジュラ蒸溜所,2008,13,香り ： ファッジ 、 レモン カード 、 土気 。 味わい ： 煮込ん だ 洋 ナシ 、 ジンジャー 甘酢 漬け 、 オーク の 木屑 。 フィニッシュ ： 甘い オーク の ニュアンス が 長く 続く フィニッシュ 。,ファッジ レモン カード 土気 煮込ん ナシ ジンジャー 甘酢 漬け オーク 木屑 甘い オーク ニュアンス 長く 続く
HL OMC スペイバーン 2007 14年 シェリー バット 50% 700MLオールドモルトカスク,"香り：ジンジャー、オーク、アップルビール。
味わい：デニッシュ生地の菓子、サルタナ、ファッジ。
フィニッシュ：ドライオークを感じる長いフィニッシュ。",https://www.saketry.com/112783.html,スコットランド,スペイサイド,オールド・モルト・カスク,ハンターレイン,50,700.0,スペイバーン,2007,14,香り ： ジンジャー 、 オーク 、 アップル ビール 。 味わい ： デニッシュ 生地 の 菓子 、 サル タナ 、 ファッジ 。 フィニッシュ ： ドライ オーク を 感じる 長い フィニッシュ 。,ジンジャー オーク アップル ビール デニッシュ 生地 菓子 サル タナ ファッジ ドライ オーク 感じる 長い
HL OMC ダルユーイン 2007 14年 シェリー バット 50% 700MLオールドモルトカスク,"香り：レザー、オレンジの皮、花。
味わい：チョコレート、煮込んだアップルr、胡桃。
フィニッシュ：スパイスをいつまでも感じる長いフィニッシュ。",https://www.saketry.com/112784.html,スコットランド,スペイサイド,オールド・モルト・カスク,ハンターレイン,50,700.0,ダルユーイン蒸溜所,2007,14,香り ： レザー 、 オレンジ の 皮 、 花 。 味わい ： チョコレート 、 煮込ん だ アップル r 、 胡桃 。 フィニッシュ ： スパイス を いつ まで も 感じる 長い フィニッシュ 。,レザー オレンジ チョコレート 煮込ん アップル 胡桃 スパイス いつ まで 感じる 長い
TBWC ベンリネス バッチ 18 15年 56.4% 500MLTHAT BOUTIQUE-Y WHISKY COMPANY,"香り：サマーフルーツ、シトラス、ハチミツ。
味わい：桃、リンゴ、バニラ、モルト、アイシングシュガークッキー。",https://www.saketry.com/112785.html,スコットランド,スペイサイド,ブティック レコード,アトンブランズ,56.4,500.0,ベンリネス蒸溜所,,15,香り ： サマー フルーツ 、 シトラス 、 ハチミツ 。 味わい ： 桃 、 リンゴ 、 バニラ 、 モルト 、 アイシングシュガークッキー 。,サマー フルーツ シトラス ハチミツ リンゴ バニラ モルト アイシングシュガークッキー
TBWC ダルユーイン バッチ7 6年 58.4% 500MLTHAT BOUTIQUE-Y WHISKY COMPANY,"香り：ジンジャーブレンド、蜜蝋、ドライフルーツ、モカ。
味わい：トフィーアップル、ゴールデンシロップ、シナモンシュガー、ジンジャー。",https://www.saketry.com/112786.html,スコットランド,スペイサイド,ブティック レコード,アトンブランズ,58.4,500.0,ダルユーイン蒸溜所,,6,香り ： ジンジャー ブレンド 、 蜜蝋 、 ドライ フルーツ 、 モカ 。 味わい ： トフィーアップル 、 ゴールデン シロップ 、 シナモン シュガー 、 ジンジャー 。,ジンジャー ブレンド 蜜蝋 ドライ フルーツ モカ トフィーアップル ゴールデン シロップ シナモン シュガー ジンジャー
TBWC グレンアラヒー バッチ8 10年 49.9% 500MLTHAT BOUTIQUE-Y WHISKY COMPANY,"香り：リンゴ、サルタナ、シナモン、ビスケット。
味わい：熟したプラム、黒ブドウ、マーマーレード、クローブ、シナモン。",https://www.saketry.com/112787.html,スコットランド,スペイサイド,ブティック レコード,アトンブランズ,49.9,500.0,グレンアラヒー蒸溜所,,,香り ： リンゴ 、 サル タナ 、 シナモン 、 ビスケット 。 味わい ： 熟し た プラム 、 黒 ブドウ 、 マーマーレード 、 クローブ 、 シナモン 。,リンゴ サル タナ シナモン ビスケット 熟し プラム ブドウ マーマーレード クローブ シナモン
TBWC ブレンデッドモルト#1 バッチ9 25年 50.8% 500MLTHAT BOUTIQUE-Y WHISKY COMPANY,"香り：アップルパイ、シナモンロール、クッキー、バニラ。
味わい：バニラ、ドライフルーツ、チョコレート、キャラメル、ハチミツ。",https://www.saketry.com/112788.html,スコットランド,スペイサイド,ブティック レコード,アトンブランズ,50.8,500.0,,,25,香り ： アップルパイ 、 シナモン ロール 、 クッキー 、 バニラ 。 味わい ： バニラ 、 ドライ フルーツ 、 チョコレート 、 キャラメル 、 ハチミツ 。,アップルパイ シナモン ロール クッキー バニラ バニラ ドライ フルーツ チョコレート キャラメル ハチミツ
カーンモア ストリクトリー リミテッド ロングモーン 2014 8年 61.8% 700MLカーンモア ストリクトリー リミテッド,"香り：バナナケーキ、バニラ、蜜蠟のアロマが広がる。
味わい：少し粘性を感じるバナナクリームを軸にバニラキャラメル、オークスパイスが混ざり合う。",https://www.saketry.com/112789.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),61.6,700.0,ロングモーン蒸溜所,2013,8,香り ： バナナ ケーキ 、 バニラ 、 蜜 蠟 の アロマ が 広がる 。 味わい ： 少し 粘性 を 感じる バナナ クリーム を 軸 に バニラ キャラメル 、 オーク スパイス が 混ざり 合う 。,バナナ ケーキ バニラ 広がる 粘性 感じる バナナ クリーム バニラ キャラメル オーク スパイス 混ざり 合う
